,text,label,label_name,len,clean_text
0,"я понял, просто это отчасти из той же серии. Дедовскую историю надо знать, но не обязательно с неё начинать и пробегать её надо галопом, а не тщательно. чтобы просто знать, что и так можно и когда стоит попробовать",1,DS chat,38,понять просто это отчасти той серия дедовский история знать обязательно начинать пробегать галопом тщательно просто знать стоить попробовать
1,"книга не поможет, мастером не станешь от прочтения книги, нужен многолетний опыт",0,Python chat,12,книга помочь мастер стать прочтение книга нужный многолетнии опыт
2,"Ресайз делает thumbor - это отдельностоящий хороший сервис с кучей функций, на торнадо написан",0,Python chat,14,ресаиза делать thumbor это отдельностоящие хорошие сервис кучей функция торнадо написать
3,"Я понимаю, но зачем именно такой интерфейс не очень",0,Python chat,9,понимать именно такой интерфеис очень
4,то есть в моем случае они бодро переобучаются? будет как у нас в школе проходят? ?,1,DS chat,16,мой случай бодро переобучаться школа проходить
5,да я готов платить но если буду знать что после этого курсы я буду значительно ближе к тому чтобы не работать на заводе,0,Python chat,23,готовый платить быть знать курс быть значительно близкий тот работать завод
6,"ну на самом деле там даже не в несколько раз, а от размера матрицы зависит",1,DS chat,15,сам дело несколько размер матрица зависеть
7,"1-го сентября будет рассылка. Но формально никакого подтверждения не надо. Читайте статьи, этот канал (слак), делайте домашки — и мы вас учтем в рейтинге",1,DS chat,24,1 го сентябрь рассылка формально никакой подтверждение читаить статья канал слак делаит домашка учесть реитинг
8,"Ну узнай у авторов бота, какое у него апи",0,Python chat,9,узнай автор бот какой апи
9,"в кёрнелах видел такой подход во время авито, там еще pca тоже на 3 компонентах",1,DS chat,15,кернела видеть такой подход время авить pca 3 компонент
10,Потому что чат никто не рекламирует и там только админы и их друзья,0,Python chat,13,чат никто рекламировать админ друг
11,"а что непонятного?\n(мне немного лень излагать это решение без нормальной терминологии, но нужная тут часть ординалов проста и ботается по википедии легко)",1,DS chat,22,непонятный немного лень излагать это решение нормальноить терминология нужный часть ординал простой ботаться википедия легко
12,За краулер из ВК где они скорее всего могут иметь доступ к DB или я с ФСБ путаю. )),1,DS chat,19,краулера вк скорее мочь иметь доступ db фсб путать
13,"Если андроилы будут популярны, кто-нибудь вирусов напишет, которые будут заставлять андроидов ругаться и ревновтаь",1,DS chat,14,андроил быть популярный вирус написать который быть заставлять андроид ругаться ревновтаь
14,"Мм, что? Питон на си написан, с функциями, структурами и всем остальным",0,Python chat,12,мм питон си написать функция структура весь остальной
15,"недопустимая оплошность. Такая же по разнузданности, как и в офисе Хьюлетт-Паккарда называть копировальные машины ксероксами",1,DS chat,15,недопустимый оплошность такой разнузданность офис хьюлетта паккард называть копировальный машина ксерокс
16,"тут не поспорить, но сильные студенты тем и сильны - они хотят учиться",1,DS chat,13,поспорить сильный студент сильный хотеть учиться
17,"меня тут формулировка с ""людьми"" напрягает.\nтоли тут задачу можно рассматривать как двух человек.\n\nтоли есть множество людей, каждый из людей думает периодически о других людях, (обо всех сразу или о каждом в отдельности), и нужно почитать время именно когда два человека из этого подномжества думают друг о друге",0,Python chat,47,формулировка человек напрягать толя задача рассматривать два человек толя множество людея каждый людея думать периодически другой человек о сразу каждый отдельность нужно почитать время именно человек подномжество думать друг друг
18,"А в чем разный? Использовал для задачи регрессии. Сид одинаковый, количество деревьев ставил одинаковое, количество сплитов никак не ограничивал",1,DS chat,19,разный использовать задача регрессия сид одинаковыя количество дерево ставить одинаковый количество сплит никак ограничивать
19,"слышал, что в зарубежах получше с этим, что пока не поймешь - препод не будет лекцию продолжать",1,DS chat,17,слышать зарубеж хороший это пока поиместь препод лекция продолжать
20,"Так это ж как раз неправильно. Твоё ""еле-еле прошли"" относится к абсолютной оценке игры команд, а должно к относительной.",1,DS chat,19,это неправильно твой еле еле пройти относиться абсолютноить оценка игра команда должный относительноить
21,"на самом деле угрозы игоря это опасно, ведь все они умножаются х5",1,DS chat,12,сам дело угроза игорь это опасно умножаться х5
22,"""Вероятно, у Шелдона есть синестезия, так как он признавался Раджу, что автоматически различает простые числа, которые кажутся ему красного цвета, и парные простые числа, которые ему кажутся розовыми и слегка пахнут бензином.""",1,DS chat,32,вероятно шелдон синестезия признаваться раджа автоматически различать простой число который казаться красный цвет парный простой число который казаться розовый слегка пахнуть бензин
23,Первый будет меньший только до добавления 11 элемента. Куда мы его добавим в списке?,0,Python chat,14,первыя меньшие добавление 11 элемент добавить список
24,"Ну к примеру xsd говорит что в классе должны быть id с типом int и name строка, а структура уже содержит эти поля",0,Python chat,23,пример xsd говорить класс должный id тип int name строка структура содержать поле
