text,label
"если у тебя нет верхнего предела, фиксед поинт это проблема",1
Ага или паркинг пула подобных сайтов и сравнение цен и др параметров,0
"я думаю, что скор должен быть близок к максимуму.",1
Ты делаешь ту задачу с парсингом 20к страниц?) без прокси и без многопоточности уже бы спарсил),0
"То есть ты больше веришь, что я реально могу попасть в топ, чем в то, что рандом сейчас лучше моделей?)",1
"Меня убедил. Но ты можешь погуглить и рассказать нам потом, кто прав.",0
"Те штуки, что вы хотите, называются операции и все у них ок в ресте",0
"Ни за какой.\nТы проиграл в тот момент, когда решил не разбираться в алгоритмах, а пытаться поднять говнокод из чьей-то репы.",1
"если run при запуске не полагается на какое-нибудь внутреннее состояние и не изменяет его, то ничего не случится, но и смысла запускать run из нескольких потоков нет",0
юзать словари вместо классов - тоже так себе идея,0
сравнивать верхюю планку с нижней и называть это 10% разбросом. хм….,0
но это не точно! да и то не так с каждой колонкой.,1
"Я подозреваю, что формализация ML-ной задачи будет вообще разная.",1
недвано у меня родители с мтс ушли на мегафон. уже пытаются уйти в билайн ))),1
"Специфичное понятие таланта, по моему опыту в спортпроге обычно разбираються реально хорошо, те кто дрочил это со школы класса с 8-9 или раньше",0
"я в контексте лайтгбма говорил, он и так быстрый",1
"до этого! уже за пределами групп риска, в целом так себе лотерея, это как в предгрозовые!",1
"Я думаю действия которые выполняет оператор (возврат денег, зачем там еще звонят?) + комменты к действиям + длинна  звонка + оператор имеет право бросить трубку если клиент себя неадекватно ведет + если повезет то ключевые слова",1
А какая нагрузка планируется? Какой фреймворк уже используешь? Docker уже настроил?,0
"аа, типа это может быть что угодно из этих вариантов вообще?",0
вот этим и отличается плохой программист от хорошего программиста.,0
"От только не говори, что такого никогда не было и это вообще невозможная ситуация)",0
"Я незнаю как определить 1 ли бот. Если есть ip, который пытается открыть скажем. /pma/index.php - и перебирают быстро и много разные словари. Я такого баню.",0
а что на localhost не запускаются? или http://127.0.0.1:8000? почему твой реальный ip там?,0
"ну эх... ну подумай, может есть что поближе то?",1
"ну вот и я к тому. не думал, кстати, что зимнее время может учитываться здесь",0
